"ll.m1"	"ll.m2"	"ll.m1.null"	"ll.m2.null"
-405.494878154829	-405.568606728927	-405.49740989478	-405.572236086183
-407.588959434979	-407.619723591897	-410.002891917723	-410.028830840413
-396.169074720853	-397.519767326177	-397.487706718427	-398.74792016102
-412.853572220755	-412.605808869509	-412.915626957992	-412.692997885284
-411.531571157779	-411.911943318788	-411.542978533153	-411.925909300975
-402.201697109485	-405.042757565964	-402.696921862967	-405.657694160389
-408.214030238493	-408.71757056195	-408.737761139437	-409.227225728141
-403.684969166063	-405.77786125189	-404.566877948492	-406.701938418371
-411.710114916786	-411.775633514562	-412.136345970964	-412.199693717253
-408.034953066577	-409.799213538751	-408.067389063106	-409.85591155295
-410.930051184839	-411.536964801067	-410.948659805268	-411.568456118808
-405.72828805208	-405.947582114434	-405.822754418777	-406.038219257128
-409.863138601034	-409.881290368604	-410.035456056866	-410.055544621548
-408.666347527807	-409.66068440228	-408.876392358312	-409.948885608552
-402.159011694856	-405.210906317663	-402.183615153968	-405.269566274164
-414.561184560415	-414.675269090297	-414.64336145929	-414.760637389151
